Sexe,Edat,Nivell Estudis,Sector,Perfil,Windows,Interessos,Twitter,Anglès
Femení,Fins a 24 anys,Grau,Investigació,Científic,No,Tècnic,Sí,Avançat
Femení,Entre 35 i 44 anys,Màster,Tecnologia,Directiu,Sí,Anàlisi,No,Intermig
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Financer,Administratiu,Sí,Anàlisi,Sí,Intermig
Femení,Entre 25 i 34 anys,Màster,Tecnologia,Analista / programador,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Doctorat,Altres,Científic,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau,Altres,Altres,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Màster,Tecnologia,Directiu,Sí,Gestió,No,Avançat
Masculí,Més de 44 anys,Grau (1er cicle),Financer,Analista / programador,Sí,Tècnic,No,Intermig
Masculí,Entre 25 i 34 anys,Grau,Sanitari,Tècnic,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau,Tecnologia,Tècnic,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Altres,Altres,Analista / programador,Sí,Anàlisi,No,Avançat
Masculí,Entre 35 i 44 anys,Grau,Tecnologia,Directiu,Sí,Gestió,Sí,Avançat
Femení,Entre 35 i 44 anys,Grau,Tecnologia,Tècnic,Sí,Tècnic,No,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Gestió,No,Intermig
Masculí,Més de 44 anys,Màster,Financer,Directiu,Sí,Anàlisi,Sí,Avançat
Masculí,Més de 44 anys,Grau,Tecnologia,Altres,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Màster,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,No,Intermig
Masculí,Entre 35 i 44 anys,Grau,Sanitari,Administratiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,No,Intermig
Masculí,Més de 44 anys,Grau,Financer,Directiu,Sí,Anàlisi,No,Avançat
Masculí,Més de 44 anys,Màster,Secundari,Directiu,Sí,Gestió,No,Avançat
Masculí,Entre 25 i 34 anys,Grau,Secundari,Tècnic,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Màster,Comercial,Administratiu,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Grau,Financer,Directiu,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 25 i 34 anys,Altres,Financer,Analista / programador,Sí,Tècnic,No,Bàsic
Femení,Entre 35 i 44 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,No,Intermig
Femení,Entre 35 i 44 anys,Grau,Sanitari,Analista / programador,Sí,Gestió,Sí,Intermig
Masculí,Entre 35 i 44 anys,Màster,Investigació,Administratiu,Sí,Gestió,Sí,Intermig
Femení,Més de 44 anys,Grau,Secundari,Directiu,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Màster,Financer,Directiu,Sí,Anàlisi,No,Intermig
Masculí,Entre 35 i 44 anys,Grau,Secundari,Administratiu,Sí,Anàlisi,No,Bàsic
Femení,Entre 25 i 34 anys,Grau,Comercial,Analista / programador,Sí,Anàlisi,Sí,Avançat
Femení,Entre 35 i 44 anys,Grau,Financer,Altres,Sí,Anàlisi,No,Intermig
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Bàsic
Masculí,Més de 44 anys,Grau (1er cicle),Altres,Administratiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Avançat
Masculí,Entre 25 i 34 anys,Màster,Altres,Altres,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau,Administració,Científic,Sí,Anàlisi,Sí,Intermig
Femení,Entre 25 i 34 anys,Màster,Altres,Tècnic,Sí,Tècnic,Sí,Intermig
Femení,Entre 35 i 44 anys,Màster,Altres,Científic,Sí,Anàlisi,No,Intermig
Femení,Més de 44 anys,Màster,Financer,Tècnic,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Màster,Tecnologia,Analista / programador,Sí,Tècnic,Sí,Avançat
Masculí,Entre 35 i 44 anys,Màster,Investigació,Científic,Sí,Anàlisi,No,Intermig
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Tècnic,No,Intermig
Masculí,Entre 35 i 44 anys,Grau,Tecnologia,Directiu,Sí,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Màster,Secundari,Directiu,Sí,Tècnic,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau,Investigació,Científic,Sí,Anàlisi,Sí,Intermig
Masculí,Més de 44 anys,Grau (1er cicle),Tecnologia,Directiu,Sí,Gestió,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 35 i 44 anys,Màster,Altres,Altres,Sí,Gestió,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Tecnologia,Analista / programador,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Financer,Analista / programador,Sí,Gestió,No,Bàsic
Femení,Entre 25 i 34 anys,Grau,Tecnologia,Directiu,Sí,Gestió,Sí,Intermig
Masculí,Entre 25 i 34 anys,Màster,Financer,Analista / programador,Sí,Anàlisi,Sí,Avançat
Femení,Més de 44 anys,Doctorat,Sanitari,Directiu,No,Gestió,No,Intermig
Femení,Entre 35 i 44 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Masculí,Entre 25 i 34 anys,Grau,Financer,Altres,Sí,Gestió,Sí,Avançat
Masculí,Entre 35 i 44 anys,Grau,Comercial,Administratiu,Sí,Tècnic,Sí,Intermig
Masculí,Entre 25 i 34 anys,Màster,Financer,Analista / programador,Sí,Anàlisi,No,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Administratiu,Sí,Anàlisi,Sí,Avançat
Masculí,Entre 25 i 34 anys,Grau,Tecnologia,Analista / programador,Sí,Anàlisi,Sí,Intermig
Femení,Fins a 24 anys,Grau,Altres,Analista / programador,Sí,Anàlisi,Sí,Bàsic
Masculí,Entre 25 i 34 anys,Grau (1er cicle),Financer,Analista / programador,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau (1er cicle),Administració,Administratiu,Sí,Tècnic,Sí,Intermig
Masculí,Entre 35 i 44 anys,Grau,Secundari,Altres,Sí,Anàlisi,No,Avançat
